band_1_b,band_2_g,band_3_r,band_4_rd,band_5_nir,band_6_lwir,SAVI,NDVI,VARI,ExG,NDRE,Date,class,lon,lat,Source_File,pad,ID,grid_id,gx,gy,folder,B,G,R,RE,NIR
2010,4572,2559,8585,16694,31032,0.594957487456981,0.7341712967299993,0.39308728512386565,0.5004922857017687,0.3207800937334815,Sep,grass,-85.18762375,30.87497579,pad4_grass_gps.csv,pad4,425,gx_9_gy_8,9,8,training,0.06134033203125,0.1395263671875,0.078094482421875,0.261993408203125,0.50946044921875
1365,3097,1874,5952,13422,31107,0.5467803024647444,0.7549686176295233,0.33915695753924147,0.4663825733455769,0.38556828674335186,Sep,grass,-85.18682282,30.87486759,pad4_grass_gps.csv,pad4,426,gx_17_gy_7,17,7,training,0.041656494140625,0.094512939453125,0.05718994140625,0.181640625,0.40960693359375
1908,3746,2889,7562,15079,31304,0.5322834182160612,0.6784283157707737,0.1812989198348206,0.31546295091453935,0.3320083030396516,Sep,grass,-85.18755382,30.87484283,pad4_grass_gps.csv,pad4,427,gx_10_gy_7,10,7,training,0.0582275390625,0.11431884765625,0.088165283203125,0.23077392578125,0.460174560546875
997,2341,1323,4654,10192,31046,0.47684504764954805,0.770212763765668,0.3817022825243268,0.5067582028308405,0.3730297715058979,Sep,grass,-85.18736181,30.87466729,pad4_grass_gps.csv,pad4,428,gx_12_gy_6,12,6,training,0.030426025390625,0.071441650390625,0.040374755859375,0.14202880859375,0.31103515625
1198,2620,2040,4995,11334,31174,0.4684790639373909,0.6949304603879556,0.16753321620747302,0.34175486323000626,0.388205033209584,Sep,grass,-85.18693708,30.87462708,pad4_grass_gps.csv,pad4,429,gx_16_gy_6,16,6,training,0.03656005859375,0.0799560546875,0.062255859375,0.152435302734375,0.34588623046875
1243,2657,1899,5659,13261,31001,0.5402929236081563,0.7494722938945443,0.22879565122330942,0.3745473336311145,0.4017970394732513,Sep,grass,-85.1869578,30.87500143,pad4_grass_gps.csv,pad4,430,gx_16_gy_8,16,8,training,0.037933349609375,0.081085205078125,0.057952880859375,0.172698974609375,0.404693603515625
879,2397,1145,4903,12920,31204,0.580068310321926,0.837184498582804,0.47014644558552054,0.6265550733926812,0.44981203979467876,Sep,grass,-85.18673159,30.87472847,pad4_grass_gps.csv,pad4,431,gx_18_gy_7,18,7,training,0.026824951171875,0.073150634765625,0.034942626953125,0.149627685546875,0.394287109375
1028,2786,1395,5783,13232,31006,0.5725548992692439,0.8092568519506578,0.44116713781916755,0.6045306162777386,0.3917433598297846,Sep,grass,-85.18793914,30.87499044,pad4_grass_gps.csv,pad4,432,gx_6_gy_8,6,8,training,0.0313720703125,0.08502197265625,0.042572021484375,0.176483154296875,0.40380859375
1625,3425,2266,6340,13327,31262,0.5188573031553331,0.7093567611592251,0.2850467266747636,0.4044559850665373,0.3552651644052815,Sep,grass,-85.18692635,30.87472112,pad4_grass_gps.csv,pad4,433,gx_16_gy_7,16,7,training,0.049591064453125,0.104522705078125,0.06915283203125,0.1934814453125,0.406707763671875
1423,3423,1977,6568,14281,30959,0.565406530894944,0.7567966524296522,0.36359064321998036,0.5050564243661603,0.36994580017639295,Sep,grass,-85.18791384,30.87485224,pad4_grass_gps.csv,pad4,434,gx_7_gy_7,7,7,training,0.043426513671875,0.104461669921875,0.060333251953125,0.200439453125,0.435821533203125
